model_arch,bottleneck_width,beta,mean_acc,std_acc,mean_val_loss,mean_compression
efficientnet_b0,16,1e-08,76.87,1.259,0.719,8.229
efficientnet_b0,16,1e-07,77.697,0.864,0.697,8.228
efficientnet_b0,16,1e-06,77.707,0.727,0.689,8.298
efficientnet_b0,16,1e-05,77.54,0.248,0.699,8.236
efficientnet_b0,16,0.0001,78.16,0.746,0.68,8.233
efficientnet_b0,16,0.001,76.58,0.833,0.725,8.356
efficientnet_b0,16,0.01,74.017,6.765,0.799,8.208
efficientnet_b0,16,0.1,19.273,15.162,2.089,8.759
efficientnet_b0,16,1.0,10.787,1.38,2.3,8.033
efficientnet_b0,16,10.0,10.643,0.62,2.299,8.576
efficientnet_b0,16,100.0,10.04,0.078,2.303,8.587
efficientnet_b0,32,1e-08,80.053,0.385,0.619,8.299
efficientnet_b0,32,1e-07,79.583,0.411,0.624,8.271
efficientnet_b0,32,1e-06,80.073,0.291,0.612,8.326
efficientnet_b0,32,1e-05,80.193,0.285,0.631,8.359
efficientnet_b0,32,0.0001,79.967,0.428,0.611,8.326
efficientnet_b0,32,0.001,80.453,0.456,0.607,8.284
efficientnet_b0,32,0.01,80.183,1.259,0.62,8.305
efficientnet_b0,32,0.1,31.477,18.579,1.803,8.151
efficientnet_b0,32,1.0,10.783,1.357,2.299,8.492
efficientnet_b0,32,10.0,10.313,0.543,2.299,8.355
efficientnet_b0,32,100.0,10.11,0.201,2.303,8.296
efficientnet_b0,64,1e-08,80.107,0.371,0.597,8.339
efficientnet_b0,64,1e-07,80.65,0.587,0.581,8.279
efficientnet_b0,64,1e-06,80.717,0.634,0.581,8.309
efficientnet_b0,64,1e-05,80.76,0.596,0.575,8.307
efficientnet_b0,64,0.0001,80.223,0.555,0.596,8.272
efficientnet_b0,64,0.001,80.223,0.818,0.597,8.301
efficientnet_b0,64,0.01,80.46,0.271,0.571,8.271
efficientnet_b0,64,0.1,61.44,10.533,1.093,8.164
