model_arch,bottleneck_width,beta,mean_acc,std_acc,mean_val_loss,mean_compression
resnet18,16,0.0,82.723,1.147,0.647,8.428
resnet18,16,1e-08,82.657,0.208,0.642,8.577
resnet18,16,1e-07,82.25,1.436,0.662,8.607
resnet18,16,1e-06,82.88,0.537,0.648,8.427
resnet18,16,1e-05,82.72,0.392,0.644,8.318
resnet18,16,0.0001,83.22,0.164,0.658,8.481
resnet18,16,0.001,82.757,0.299,0.647,8.275
resnet18,16,0.01,82.477,0.926,0.648,8.466
resnet18,16,0.1,10.83,1.438,2.302,8.603
resnet18,16,1.0,11.183,1.559,2.296,8.679
resnet18,16,10.0,10.0,0.0,2.303,8.746
resnet18,16,100.0,10.0,0.0,2.303,8.746
resnet18,32,0.0,83.503,0.112,0.64,8.295
resnet18,32,1e-08,83.83,0.249,0.651,8.299
resnet18,32,1e-07,83.95,0.118,0.664,8.303
resnet18,32,1e-06,83.577,0.171,0.664,8.301
resnet18,32,1e-05,83.787,0.407,0.646,8.301
resnet18,32,0.0001,83.767,0.257,0.652,8.303
resnet18,32,0.001,83.593,0.303,0.657,8.299
resnet18,32,0.01,83.607,0.551,0.622,8.299
resnet18,32,0.1,33.103,40.016,1.758,8.533
resnet18,32,1.0,10.0,0.0,2.303,8.746
resnet18,32,10.0,10.0,0.0,2.303,8.746
resnet18,32,100.0,10.337,0.583,2.302,8.676
resnet18,64,0.0,83.293,0.496,0.661,8.3
resnet18,64,1e-08,83.543,0.525,0.663,8.302
resnet18,64,1e-07,83.637,0.257,0.672,8.301
resnet18,64,1e-06,83.847,0.323,0.632,8.302
resnet18,64,1e-05,83.737,0.06,0.666,8.3
resnet18,64,0.0001,83.743,0.294,0.669,8.301
resnet18,64,0.001,83.703,0.126,0.659,8.301
resnet18,64,0.01,83.837,0.291,0.623,8.3
resnet18,64,0.1,82.753,1.67,0.577,8.139
resnet18,64,1.0,10.157,0.271,2.303,8.746
resnet18,64,10.0,10.41,0.71,2.301,8.553
resnet18,64,100.0,10.443,0.768,2.3,8.746
resnet18,128,0.0,83.87,0.27,0.68,8.294
resnet18,128,1e-08,83.8,0.208,0.692,8.295
resnet18,128,1e-07,83.78,0.334,0.689,8.289
resnet18,128,1e-06,83.837,0.749,0.677,8.292
resnet18,128,1e-05,83.857,0.325,0.666,8.291
resnet18,128,0.0001,83.423,0.274,0.7,8.292
resnet18,128,0.001,83.477,0.237,0.678,8.294
resnet18,128,0.01,83.76,0.333,0.639,8.275
resnet18,128,0.1,83.86,0.263,0.569,8.087
resnet18,128,1.0,11.403,2.431,2.284,8.633
resnet18,128,10.0,10.15,0.26,2.302,8.7
resnet18,128,100.0,10.0,0.0,2.303,8.746
resnet18,256,0.0,82.973,0.752,0.712,8.276
resnet18,256,1e-08,83.557,0.445,0.71,8.277
resnet18,256,1e-07,83.817,0.384,0.679,8.281
resnet18,256,1e-06,83.453,0.248,0.698,8.277
resnet18,256,1e-05,83.573,0.363,0.688,8.277
resnet18,256,0.0001,83.52,0.4,0.716,8.279
resnet18,256,0.001,83.54,0.353,0.703,8.276
resnet18,256,0.01,83.137,0.248,0.666,8.253
resnet18,256,0.1,83.543,0.367,0.554,7.988
resnet18,256,1.0,24.027,17.089,1.983,8.372
resnet18,256,10.0,11.98,1.78,2.295,8.653
resnet18,256,100.0,10.31,0.537,2.302,8.644
resnet18,512,0.0,83.217,0.801,0.738,8.258
resnet18,512,1e-08,83.717,0.389,0.716,8.265
resnet18,512,1e-07,83.56,0.527,0.701,8.261
resnet18,512,1e-06,83.437,0.647,0.73,8.254
resnet18,512,1e-05,83.827,0.241,0.715,8.267
resnet18,512,0.0001,83.677,0.327,0.704,8.268
resnet18,512,0.001,83.32,0.312,0.734,8.257
resnet18,512,0.01,83.627,0.197,0.669,8.241
resnet18,512,0.1,83.74,0.584,0.571,7.968
resnet18,512,1.0,29.703,32.028,1.861,8.357
resnet18,512,10.0,10.697,1.224,2.291,8.646
resnet18,512,100.0,11.08,1.871,2.288,8.746
resnet18,1024,0.0,83.697,0.305,0.732,8.241
resnet18,1024,1e-08,83.447,0.103,0.725,8.243
resnet18,1024,1e-07,83.617,0.249,0.734,8.246
resnet18,1024,1e-06,83.12,0.281,0.737,8.24
resnet18,1024,1e-05,83.047,0.348,0.714,8.239
resnet18,1024,0.0001,83.62,0.406,0.728,8.247
resnet18,1024,0.001,83.607,0.29,0.726,8.242
resnet18,1024,0.01,83.467,0.296,0.676,8.231
resnet18,1024,0.1,83.42,0.761,0.56,8.117
resnet18,1024,1.0,17.437,9.956,2.132,8.528
resnet18,1024,10.0,11.317,1.711,2.296,8.719
resnet18,1024,100.0,10.083,0.144,2.303,8.594
resnet18,2048,0.0,83.193,0.514,0.754,8.22
resnet18,2048,1e-08,83.443,0.335,0.757,8.226
resnet18,2048,1e-07,83.853,0.129,0.732,8.228
resnet18,2048,1e-06,83.793,0.756,0.731,8.22
resnet18,2048,1e-05,83.427,0.474,0.756,8.221
resnet18,2048,0.0001,83.13,0.413,0.759,8.214
resnet18,2048,0.001,83.393,0.337,0.722,8.228
resnet18,2048,0.01,83.747,0.178,0.656,8.225
resnet18,2048,0.1,83.65,0.469,0.57,8.196
resnet18,2048,1.0,29.013,31.279,1.864,8.494
resnet18,2048,10.0,14.41,4.554,2.226,8.49
resnet18,2048,100.0,10.927,1.579,2.299,8.727
vgg11,16,0.0,28.637,17.885,1.877,8.746
vgg11,16,1e-08,27.91,15.906,1.885,8.746
vgg11,16,1e-07,46.907,13.217,1.582,8.746
vgg11,16,1e-06,32.407,19.408,1.802,8.746
vgg11,16,1e-05,31.557,19.226,1.811,8.746
vgg11,16,0.0001,65.873,12.404,1.19,8.746
vgg11,16,0.001,10.0,0.0,2.303,8.746
vgg11,16,0.01,10.0,0.0,2.303,8.746
vgg11,16,0.1,10.0,0.0,2.303,8.746
vgg11,16,1.0,10.0,0.0,2.303,8.746
vgg11,16,10.0,10.0,0.0,2.303,8.746
vgg11,16,100.0,10.0,0.0,2.303,8.746
vgg11,32,0.0,59.417,42.812,1.298,8.746
vgg11,32,1e-08,34.71,42.799,1.821,8.746
vgg11,32,1e-07,83.22,1.801,0.774,8.746
vgg11,32,1e-06,78.017,7.307,0.889,8.746
vgg11,32,1e-05,83.637,1.029,0.754,8.746
vgg11,32,0.0001,82.587,2.152,0.807,8.746
vgg11,32,0.001,49.413,37.546,1.562,8.746
vgg11,32,0.01,10.0,0.0,2.303,8.746
vgg11,32,0.1,10.0,0.0,2.302,8.746
vgg11,32,1.0,10.0,0.0,2.303,8.746
vgg11,32,10.0,10.0,0.0,1330.918,8.746
vgg11,32,100.0,10.0,0.0,2.303,8.746
